YEAR,MONTH_NUM,MONTH_MON,ENTRY_DATE,ENTITY_NAME,ENTITY_TYPE,TYPE_MODEL,DIST_FLOWN_KM,DIST_DIRECT_KM,DIST_ACHIEVED_KM
2026,1,JAN,2026-01-02,Germany,State (FIR),CPF,2372750,2355646.48,2319756.04
2026,1,JAN,2026-01-02,Germany,State (FIR),FTFM,2394166,2345741.07,2292926.74
2026,1,JAN,2026-01-02,Germany,State (FIR),SFR,2347244,2303312.76,2253362.68
2026,1,JAN,2026-01-02,Greece,State (FIR),CPF,1207530,1204295.41,1189489
2026,1,JAN,2026-01-02,Greece,State (FIR),FTFM,1209282,1199262.13,1179589.07
2026,1,JAN,2026-01-02,Greece,State (FIR),SFR,1157221,1148858.04,1131097.71
2026,1,JAN,2026-01-02,Hungary,State (FIR),CPF,600105,599292.75,588371.14
2026,1,JAN,2026-01-02,Hungary,State (FIR),FTFM,599413,596834.16,583389.97
2026,1,JAN,2026-01-02,Hungary,State (FIR),SFR,571674,569321.37,556816.18
2026,1,JAN,2026-01-02,Ireland,State (FIR),CPF,339962,339536.74,334026.93
2026,1,JAN,2026-01-02,Ireland,State (FIR),FTFM,319581,318746.22000000003,312224.98
2026,1,JAN,2026-01-02,Ireland,State (FIR),SFR,290816,290265.15,284950.31
2026,1,JAN,2026-01-02,Italy,State (FIR),CPF,2102322,2083247.48,2045790.17
2026,1,JAN,2026-01-02,Italy,State (FIR),FTFM,2106735,2073574.31,2026203.26
2026,1,JAN,2026-01-02,Italy,State (FIR),SFR,2099287,2066940.93,2021153.65
2026,1,JAN,2026-01-02,Latvia,State (FIR),CPF,103253,102948.19,96597.78
2026,1,JAN,2026-01-02,Latvia,State (FIR),FTFM,105204,104622.87,98041.63
2026,1,JAN,2026-01-02,Latvia,State (FIR),SFR,99444,98866.51000000001,92945.03
2026,1,JAN,2026-01-02,Lithuania,State (FIR),CPF,81726,81549.91,73564.88
2026,1,JAN,2026-01-02,Lithuania,State (FIR),FTFM,83818,83460.51,73994.16
2026,1,JAN,2026-01-02,Lithuania,State (FIR),SFR,79921,79557.73,71197.25
2026,1,JAN,2026-01-02,Malta,State (FIR),CPF,178293,178107.22,176008.09
2026,1,JAN,2026-01-02,Malta,State (FIR),FTFM,176981,176713.57,174538.18
2026,1,JAN,2026-01-02,Malta,State (FIR),SFR,167083,166956.2,165041.52
2026,1,JAN,2026-01-02,Moldova,State (FIR),CPF,3627,3619.4300000000003,3026.51
2026,1,JAN,2026-01-02,Moldova,State (FIR),FTFM,1726,1715.82,1369.8500000000001
2026,1,JAN,2026-01-02,Moldova,State (FIR),SFR,1704,1694.17,1349.44
2026,1,JAN,2026-01-02,Morocco,State (FIR),CPF,958546,948716.12,937047.51
2026,1,JAN,2026-01-02,Morocco,State (FIR),FTFM,950407,939881.5,927195.91
2026,1,JAN,2026-01-02,Morocco,State (FIR),SFR,933360,924367.3,912652.53
2026,1,JAN,2026-01-02,NEFAB,FAB (FIR),CPF,728954,719358.55,707440.25
2026,1,JAN,2026-01-02,NEFAB,FAB (FIR),FTFM,741340,730034.59,715056.85
2026,1,JAN,2026-01-02,NEFAB,FAB (FIR),SFR,707476,696592.4500000001,683058.7000000001
2026,1,JAN,2026-01-02,Netherlands,State (FIR),CPF,443651,440313.08,432778.31
2026,1,JAN,2026-01-02,Netherlands,State (FIR),FTFM,445091,439774.46,428851.21
2026,1,JAN,2026-01-02,Netherlands,State (FIR),SFR,436865,432201.58,422030.57
2026,1,JAN,2026-01-02,North Macedonia,State (FIR),CPF,76498,76396.18000000001,75206.55
2026,1,JAN,2026-01-02,North Macedonia,State (FIR),FTFM,75944,75816.08,74033.69
2026,1,JAN,2026-01-02,North Macedonia,State (FIR),SFR,73114,73006.23,71293.5
2026,1,JAN,2026-01-02,Norway,State (FIR),CPF,387086,385628.93,381849.60000000003
2026,1,JAN,2026-01-02,Norway,State (FIR),FTFM,394123,390835.11,385382.09
2026,1,JAN,2026-01-02,Norway,State (FIR),SFR,377049,373919.33,368857.19
2026,1,JAN,2026-01-02,Poland,State (FIR),CPF,656314,654545.12,627074.88
2026,1,JAN,2026-01-02,Poland,State (FIR),FTFM,669440,659715.5,625788.58
2026,1,JAN,2026-01-02,Poland,State (FIR),SFR,643361,635014.86,604306.56
2026,1,JAN,2026-01-02,Portugal (Continental),State (FIR),CPF,950473,947163.76,934818.23
2026,1,JAN,2026-01-02,Portugal (Continental),State (FIR),FTFM,942165,934746.75,920414.13
2026,1,JAN,2026-01-02,Portugal (Continental),State (FIR),SFR,927278,920890.3,907621.92
2026,1,JAN,2026-01-02,Romania,State (FIR),CPF,942896,941640.61,911189.0700000001
2026,1,JAN,2026-01-02,Romania,State (FIR),FTFM,935996,933494.5800000001,900029.28
